As Of;Currency;NAV
04/Jul/2016;EUR;206,24
01/Jul/2016;EUR;206,55
30/Jun/2016;EUR;206,21
29/Jun/2016;EUR;205,56
28/Jun/2016;EUR;204,93
27/Jun/2016;EUR;203,56
24/Jun/2016;EUR;203,14
23/Jun/2016;EUR;203,70
22/Jun/2016;EUR;203,57
21/Jun/2016;EUR;203,51
20/Jun/2016;EUR;203,62
17/Jun/2016;EUR;203,10
16/Jun/2016;EUR;202,98
15/Jun/2016;EUR;203,41
14/Jun/2016;EUR;203,19
13/Jun/2016;EUR;203,43
10/Jun/2016;EUR;204,05
09/Jun/2016;EUR;204,27
08/Jun/2016;EUR;204,28
07/Jun/2016;EUR;204,09
06/Jun/2016;EUR;203,60
03/Jun/2016;EUR;203,93
02/Jun/2016;EUR;203,43
01/Jun/2016;EUR;203,39
31/May/2016;EUR;203,63
30/May/2016;EUR;203,77
27/May/2016;EUR;203,77
26/May/2016;EUR;204,14
25/May/2016;EUR;204,01
24/May/2016;EUR;203,30
23/May/2016;EUR;203,06
20/May/2016;EUR;203,08
19/May/2016;EUR;203,09
18/May/2016;EUR;203,14
17/May/2016;EUR;203,76
16/May/2016;EUR;203,28
13/May/2016;EUR;203,36
12/May/2016;EUR;203,09
11/May/2016;EUR;203,29
10/May/2016;EUR;203,24
09/May/2016;EUR;203,11
06/May/2016;EUR;202,87
05/May/2016;EUR;202,59
04/May/2016;EUR;202,38
03/May/2016;EUR;202,49
02/May/2016;EUR;201,78
29/Apr/2016;EUR;201,78
28/Apr/2016;EUR;201,62
27/Apr/2016;EUR;200,82
26/Apr/2016;EUR;200,77
25/Apr/2016;EUR;200,93
22/Apr/2016;EUR;201,27
21/Apr/2016;EUR;201,37
20/Apr/2016;EUR;202,06
19/Apr/2016;EUR;201,92
18/Apr/2016;EUR;201,96
15/Apr/2016;EUR;202,15
14/Apr/2016;EUR;201,85
13/Apr/2016;EUR;202,26
12/Apr/2016;EUR;201,81
11/Apr/2016;EUR;202,41
08/Apr/2016;EUR;202,84
07/Apr/2016;EUR;202,48
06/Apr/2016;EUR;202,75
05/Apr/2016;EUR;202,69
04/Apr/2016;EUR;202,48
01/Apr/2016;EUR;202,13
31/Mar/2016;EUR;202,10
30/Mar/2016;EUR;202,07
29/Mar/2016;EUR;201,70
28/Mar/2016;EUR;201,35
24/Mar/2016;EUR;201,35
23/Mar/2016;EUR;201,36
22/Mar/2016;EUR;201,75
21/Mar/2016;EUR;201,68
18/Mar/2016;EUR;201,80
17/Mar/2016;EUR;201,38
16/Mar/2016;EUR;200,23
15/Mar/2016;EUR;200,07
14/Mar/2016;EUR;200,95
11/Mar/2016;EUR;201,30
10/Mar/2016;EUR;200,13
09/Mar/2016;EUR;200,86
08/Mar/2016;EUR;201,22
07/Mar/2016;EUR;200,94
04/Mar/2016;EUR;200,19
03/Mar/2016;EUR;200,34
02/Mar/2016;EUR;199,01
01/Mar/2016;EUR;199,03
29/Feb/2016;EUR;199,42
26/Feb/2016;EUR;199,54
25/Feb/2016;EUR;199,42
24/Feb/2016;EUR;199,68
23/Feb/2016;EUR;200,12
22/Feb/2016;EUR;200,24
19/Feb/2016;EUR;199,46
18/Feb/2016;EUR;199,94
17/Feb/2016;EUR;198,96
16/Feb/2016;EUR;198,83
15/Feb/2016;EUR;199,44
12/Feb/2016;EUR;198,55
11/Feb/2016;EUR;198,70
10/Feb/2016;EUR;199,34
09/Feb/2016;EUR;199,27
08/Feb/2016;EUR;199,88
05/Feb/2016;EUR;200,53
04/Feb/2016;EUR;200,47
03/Feb/2016;EUR;200,51
02/Feb/2016;EUR;199,94
